Filepath,File,Retrieved,Path_Length
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\B - Administrative Reviews and Approvals\B2 - Office of the President UC Regents\03 Contract Award Submission\Original Submission\02 UCSC 4101 GFF Request for Approval to Proceed 14D August 2017 r1 signed.pdf,02 UCSC 4101 GFF Request for Approval to Proceed 14D August 2017 r1 signed.pdf,"03/05/2020, 16:37:08",262
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Bid Documents 30 June 2017\Posted\Addenda\Addendum #1\4101 Supplementary_instructions_to_bidders revised per Addendum 1.pdf,4101 Supplementary_instructions_to_bidders revised per Addendum 1.pdf,"03/05/2020, 16:37:10",273
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Bid Documents 30 June 2017\Posted\Addenda\Reference Docs\FINAL 4101 EHS Facility SWPPP Reference Document June 2017.pdf,FINAL 4101 EHS Facility SWPPP Reference Document June 2017.pdf,"03/05/2020, 16:37:10",269
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Bid Documents 30 June 2017\Posted\Addenda\Reference Docs\FINAL EH&S Geotech & Geologic Study_Revised 6-3-16.pdf,FINAL EH&S Geotech & Geologic Study_Revised 6-3-16.pdf,"03/05/2020, 16:37:10",261
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Bid Documents 30 June 2017\Posted\Specs\Contract Documents Including B\4101 Contract Documents Including Bid Form.pdf,4101 Contract Documents Including Bid Form.pdf,"03/05/2020, 16:37:10",267
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-01-E-CxDesignReviewKickoff_UCSCEH&SPage001-6577983.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-01-E-CxDesignReviewKickoff_UCSCEH&SPage001-6577983.png,"03/05/2020, 16:37:10",302
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-01-E-CxDesignReviewKickoff_UCSCEH&S_PAE-2-6568617.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-01-E-CxDesignReviewKickoff_UCSCEH&S_PAE-2-6568617.png,"03/05/2020, 16:37:10",301
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-1-6568625.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-1-6568625.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-2-6568632.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-2-6568632.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-3-6568636.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-3-6568636.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-4-6568641.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-4-6568641.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-5-6568645.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-5-6568645.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-6-6568649.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-6-6568649.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-7-6568653.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-7-6568653.png,"03/05/2020, 16:37:10",311
